Date,City,Active Infections,Daily Infections,Total Infections,Daily Deaths,Total Deaths
2020-4-26,Delhi,1987,190,2918,0,54
2020-4-26,Delhi,1987,190,2918,0,54
2020-4-26,Delhi,1987,190,2918,0,54
2020-4-27,Delhi,2177,206,3108,0,54
2020-4-27,Delhi,2177,206,3108,0,54
2020-4-27,Delhi,2177,206,3108,0,54
2020-4-28,Delhi,2182,125,3314,2,54
2020-4-28,Delhi,2182,125,3314,2,54
2020-4-28,Delhi,2182,125,3314,2,54
2020-4-29,Delhi,2291,76,3439,3,56
2020-4-29,Delhi,2291,76,3439,3,56
2020-4-29,Delhi,2291,76,3439,3,56
2020-4-30,Delhi,2362,223,3515,2,59
2020-4-30,Delhi,2362,223,3515,2,59
2020-4-30,Delhi,2362,223,3515,2,59
2020-5-1,Delhi,2510,384,3738,3,61
2020-5-1,Delhi,2510,384,3738,3,61
2020-5-1,Delhi,2510,384,3738,3,61
2020-5-2,Delhi,2802,427,4122,0,64
2020-5-2,Delhi,2802,427,4122,0,64
2020-5-2,Delhi,2802,427,4122,0,64
2020-5-3,Delhi,3123,349,4549,0,64
2020-5-3,Delhi,3123,349,4549,0,64
2020-5-3,Delhi,3123,349,4549,0,64
2020-5-4,Delhi,3403,206,4898,0,64
2020-5-4,Delhi,3403,206,4898,0,64
2020-5-4,Delhi,3403,206,4898,0,64
2020-5-5,Delhi,3572,428,5104,1,64
2020-5-5,Delhi,3572,428,5104,1,64
2020-5-5,Delhi,3572,428,5104,1,64
2020-5-6,Delhi,3925,448,5532,1,65
2020-5-6,Delhi,3925,448,5532,1,65
2020-5-6,Delhi,3925,448,5532,1,65
2020-5-7,Delhi,3983,338,5980,2,66
2020-5-7,Delhi,3983,338,5980,2,66
2020-5-7,Delhi,3983,338,5980,2,66
2020-5-8,Delhi,4230,224,6318,0,68
2020-5-8,Delhi,4230,224,6318,0,68
2020-5-8,Delhi,4230,224,6318,0,68
2020-5-9,Delhi,4454,381,6542,5,68
2020-5-9,Delhi,4454,381,6542,5,68
2020-5-9,Delhi,4454,381,6542,5,68
2020-5-10,Delhi,4781,310,6923,0,73
2020-5-10,Delhi,4781,310,6923,0,73
2020-5-10,Delhi,4781,310,6923,0,73
2020-5-11,Delhi,5031,406,7233,13,73
2020-5-11,Delhi,5031,406,7233,13,73
2020-5-11,Delhi,5031,406,7233,13,73
2020-5-12,Delhi,5041,359,7639,20,86
2020-5-12,Delhi,5041,359,7639,20,86
2020-5-12,Delhi,5041,359,7639,20,86
2020-5-13,Delhi,5034,472,7998,9,106
2020-5-13,Delhi,5034,472,7998,9,106
2020-5-13,Delhi,5034,472,7998,9,106
2020-5-14,Delhi,5310,425,8470,8,115
2020-5-14,Delhi,5310,425,8470,8,115
2020-5-14,Delhi,5310,425,8470,8,115
2020-5-15,Delhi,5254,438,8895,6,123
2020-5-15,Delhi,5254,438,8895,6,123
2020-5-15,Delhi,5254,438,8895,6,123
2020-5-16,Delhi,5278,422,9333,19,129
2020-5-16,Delhi,5278,422,9333,19,129
2020-5-16,Delhi,5278,422,9333,19,129
2020-5-17,Delhi,5405,299,9755,12,148
2020-5-17,Delhi,5405,299,9755,12,148
2020-5-17,Delhi,5405,299,9755,12,148
2020-5-18,Delhi,5409,500,10054,6,160
2020-5-18,Delhi,5409,500,10054,6,160
2020-5-18,Delhi,5409,500,10054,6,160
2020-5-19,Delhi,5638,534,10554,10,166
2020-5-19,Delhi,5638,534,10554,10,166
2020-5-19,Delhi,5638,534,10554,10,166
2020-5-20,Delhi,5720,571,11088,18,176
2020-5-20,Delhi,5720,571,11088,18,176
2020-5-20,Delhi,5720,571,11088,18,176
2020-5-21,Delhi,5898,660,11659,14,194
2020-5-21,Delhi,5898,660,11659,14,194
2020-5-21,Delhi,5898,660,11659,14,194
2020-5-22,Delhi,6214,591,12319,23,208
2020-5-22,Delhi,6214,591,12319,23,208
2020-5-22,Delhi,6214,591,12319,23,208
2020-5-23,Delhi,6412,508,12910,30,231
2020-5-23,Delhi,6412,508,12910,30,231
2020-5-23,Delhi,6412,508,12910,30,231
2020-5-24,Delhi,6617,635,13418,15,261
2020-5-24,Delhi,6617,635,13418,15,261
2020-5-24,Delhi,6617,635,13418,15,261
2020-5-25,Delhi,7006,412,14053,12,276
2020-5-25,Delhi,7006,412,14053,12,276
2020-5-25,Delhi,7006,412,14053,12,276
2020-5-26,Delhi,7223,792,14465,15,288
2020-5-26,Delhi,7223,792,14465,15,288
2020-5-26,Delhi,7223,792,14465,15,288
2020-5-27,Delhi,7690,1024,15257,13,303
2020-5-27,Delhi,7690,1024,15257,13,303
2020-5-27,Delhi,7690,1024,15257,13,303
2020-5-28,Delhi,8470,1105,16281,82,316
2020-5-28,Delhi,8470,1105,16281,82,316
2020-5-28,Delhi,8470,1105,16281,82,316
2020-5-29,Delhi,9142,1163,17386,18,398
2020-5-29,Delhi,9142,1163,17386,18,398
2020-5-29,Delhi,9142,1163,17386,18,398
2020-5-30,Delhi,10058,1295,18549,57,416
2020-5-30,Delhi,10058,1295,18549,57,416
2020-5-30,Delhi,10058,1295,18549,57,416
2020-5-31,Delhi,10893,990,19844,50,473
2020-5-31,Delhi,10893,990,19844,50,473
2020-5-31,Delhi,10893,990,19844,50,473
2020-6-1,Delhi,11565,1298,20834,33,523
2020-6-1,Delhi,11565,1298,20834,33,523
2020-6-1,Delhi,11565,1298,20834,33,523
2020-6-2,Delhi,12333,1513,22132,59,556
2020-6-2,Delhi,12333,1513,22132,59,556
2020-6-2,Delhi,12333,1513,22132,59,556
2020-6-3,Delhi,13488,1359,23645,44,615
2020-6-3,Delhi,13488,1359,23645,44,615
2020-6-3,Delhi,13488,1359,23645,44,615
2020-6-4,Delhi,14447,1330,25004,49,659
2020-6-4,Delhi,14447,1330,25004,49,659
